interpro	term
IPR001135	GO:0016651
IPR001135	GO:0048038
IPR001135	GO:0051287
IPR001137	GO:0004553
IPR001138	GO:0000981
IPR001138	GO:0008270
IPR001139	GO:0004348
IPR001140	GO:0005524
IPR001140	GO:0042626
IPR001141	GO:0003735
IPR001144	GO:0003824
IPR001147	GO:0003735
IPR001150	GO:0003824
IPR001152	GO:0003779
IPR001154	GO:0003677
IPR001154	GO:0003918
IPR001154	GO:0005524
IPR001155	GO:0010181
IPR001155	GO:0016491
IPR001161	GO:0004003
IPR001164	GO:0008060
IPR001164	GO:0008270
IPR001165	GO:0003796
IPR001166	GO:0005184
IPR001168	GO:0004978
IPR001172	GO:0003774
IPR001174	GO:0005524
IPR001174	GO:0016301
IPR001177	GO:0003677
IPR001177	GO:0004003
IPR001177	GO:0005524
IPR001178	GO:0005102
IPR001180	GO:0005083
IPR001181	GO:0005139
IPR001181	GO:0008083
IPR001183	GO:0016907
IPR001184	GO:0004994
IPR001185	GO:0005216
IPR001186	GO:0004947
IPR001188	GO:0019808
IPR001189	GO:0004784
IPR001189	GO:0046872
IPR001190	GO:0005044
IPR001191	GO:0005198
IPR001193	GO:0004222
IPR001196	GO:0003735
IPR001197	GO:0003735
IPR001199	GO:0020037
IPR001202	GO:0005515
IPR001203	GO:0009055
IPR001203	GO:0016491
IPR001203	GO:0016625
IPR001203	GO:0051536
IPR001204	GO:0005315
IPR001205	GO:0003723
IPR001205	GO:0003968
IPR001206	GO:0004143
IPR001207	GO:0003677
IPR001207	GO:0004803
IPR001208	GO:0003677
IPR001208	GO:0005524
IPR001209	GO:0003735
IPR001210	GO:0003735
IPR001211	GO:0004623
IPR001211	GO:0005509
IPR001212	GO:0005044
IPR001212	GO:0030247
IPR001214	GO:0005515
IPR001217	GO:0003700
IPR001217	GO:0004871
IPR001220	GO:0030246
IPR001222	GO:0003676
IPR001222	GO:0008270
IPR001223	GO:0004553
IPR001224	GO:0005000
IPR001226	GO:0009055
IPR001226	GO:0010181
IPR001227	GO:0016740
IPR001228	GO:0003824
IPR001233	GO:0008452
IPR001235	GO:0005507
IPR001235	GO:0009055
IPR001236	GO:0016491
IPR001237	GO:0033130
IPR001238	GO:0003697
IPR001238	GO:0005524
IPR001239	GO:0004867
IPR001240	GO:0004640
IPR001241	GO:0003677
IPR001241	GO:0003918
IPR001241	GO:0005524
IPR001243	GO:0005507
IPR001243	GO:0009055
IPR001244	GO:0004955
IPR001245	GO:0004672
IPR001246	GO:0005506
IPR001246	GO:0016165
IPR001248	GO:0015205
IPR001249	GO:0003989
IPR001250	GO:0004476
IPR001250	GO:0008270
IPR001252	GO:0016615
IPR001253	GO:0003743
IPR001254	GO:0004252
IPR001258	GO:0005515
IPR001260	GO:0004109
IPR001261	GO:0008237
IPR001262	GO:0005184
IPR001266	GO:0003735
IPR001267	GO:0004797
IPR001267	GO:0005524
IPR001268	GO:0008137
IPR001269	GO:0017150
IPR001269	GO:0050660
IPR001270	GO:0005524
IPR001272	GO:0004612
IPR001272	GO:0005524
IPR001273	GO:0004497
IPR001273	GO:0005506
IPR001274	GO:0004944
IPR001275	GO:0043565
IPR001277	GO:0016494
IPR001278	GO:0004814
IPR001278	GO:0005524
IPR001282	GO:0004345
IPR001285	GO:0005215
IPR001286	GO:0004336
IPR001287	GO:0005507
IPR001287	GO:0050421
IPR001288	GO:0003743
IPR001289	GO:0003700
IPR001292	GO:0003677
IPR001292	GO:0005496
IPR001292	GO:0030284
IPR001293	GO:0008270
IPR001295	GO:0004152
IPR001298	GO:0005515
IPR001299	GO:0005509
IPR001300	GO:0004198
IPR001301	GO:0005198
IPR001304	GO:0030246
IPR001305	GO:0031072
IPR001305	GO:0051082
IPR001307	GO:0004792
IPR001308	GO:0009055
IPR001308	GO:0050660
IPR001309	GO:0004197
IPR001312	GO:0005524
IPR001312	GO:0016773
IPR001313	GO:0003723
IPR001314	GO:0004252
IPR001316	GO:0004252
IPR001318	GO:0005179
IPR001319	GO:0003677
IPR001320	GO:0004970
IPR001320	GO:0005234
IPR001321	GO:0003700
IPR001323	GO:0005179
IPR001325	GO:0005126
IPR001326	GO:0003746
IPR001327	GO:0016491
IPR001327	GO:0050660
IPR001328	GO:0004045
IPR001329	GO:0004415
IPR001330	GO:0003824
IPR001331	GO:0005085
IPR001333	GO:0004181
IPR001334	GO:0003677
IPR001337	GO:0005198
IPR001338	GO:0005199
IPR001339	GO:0004484
IPR001341	GO:0004072
IPR001343	GO:0005509
IPR001345	GO:0003824
IPR001346	GO:0000975
IPR001347	GO:0030246
IPR001348	GO:0003879
IPR001349	GO:0004129
IPR001351	GO:0003735
IPR001352	GO:0003723
IPR001352	GO:0004523
IPR001353	GO:0004298
IPR001354	GO:0003824
IPR001355	GO:0016494
IPR001355	GO:0019959
IPR001356	GO:0003677
IPR001358	GO:0004983
IPR001360	GO:0004553
IPR001361	GO:0005198
IPR001362	GO:0004553
IPR001364	GO:0046789
IPR001365	GO:0019239
IPR001367	GO:0046914
IPR001367	GO:0046983
IPR001368	GO:0005515
IPR001371	GO:0016161
IPR001373	GO:0031625
IPR001374	GO:0003676
IPR001375	GO:0008236
IPR001376	GO:0045735
IPR001377	GO:0003735
IPR001380	GO:0003735
IPR001381	GO:0003855
IPR001382	GO:0004571
IPR001382	GO:0005509
IPR001383	GO:0003735
IPR001384	GO:0004222
IPR001385	GO:0005198
